ts,oid,trader,side,type,price,qty
128.100000,1364,N11,buy,cancel,100.45,67
128.100000,1365,N11,sell,market,,30
128.100000,1366,CB,sell,market,,12
128.200000,1367,N11,sell,limit,100.49,58
128.200000,1368,N12,sell,limit,100.49,44
128.400000,1369,N6,buy,market,,62
128.500000,1370,N12,buy,market,,11
128.500000,1371,CB,sell,limit,100.64,86
128.900000,1372,N3,sell,market,,60
128.900000,1348,N14,sell,cancel,100.63,74
128.900000,1373,N14,buy,limit,100.47,40
129.000000,1363,N5,sell,cancel,100.95,65
129.000000,1374,N5,sell,limit,100.62,85
129.000000,1343,MM,sell,cancel,100.68,80
129.000000,1375,MM,buy,limit,100.46,80
129.000000,1376,MM,sell,limit,100.56,80
129.100000,1374,N5,sell,cancel,100.62,85
129.100000,1377,N5,buy,limit,100.51,47
129.300000,1353,N2,buy,cancel,100.40,24
129.300000,1378,N2,sell,market,,34
129.300000,1379,N14,sell,market,,18
129.400000,1380,N8,sell,market,,57
129.500000,1381,N9,sell,limit,100.59,99
129.500000,1382,CB,sell,limit,100.58,71
130.100000,1383,N2,buy,limit,100.43,38
130.100000,1384,N14,buy,market,,18
130.200000,1385,N4,sell,market,,57
130.200000,1386,N10,sell,limit,100.61,67
130.200000,1387,N11,sell,market,,54
130.300000,1388,N12,buy,limit,100.28,89
130.800000,1389,N3,buy,limit,100.54,39
130.800000,1390,N13,buy,market,,79
131.000000,1228,N7,buy,cancel,100.34,12
131.000000,1391,N7,sell,limit,100.72,29
131.200000,1392,N10,sell,market,,29
131.300000,1393,N0,sell,market,,37
131.400000,1386,N10,sell,cancel,100.61,67
131.400000,1394,N10,buy,market,,14
131.500000,1395,N6,sell,limit,100.93,44
131.600000,1396,N6,buy,limit,100.52,63
131.700000,1397,N0,buy,limit,100.49,26
131.700000,1381,N9,sell,cancel,100.59,99
131.700000,1398,N9,buy,limit,100.56,50
131.700000,1399,CB,sell,market,,87
131.800000,1400,N0,sell,market,,97
131.800000,1401,N5,buy,market,,72
131.900000,1402,N10,buy,market,,52
132.000000,1403,N0,sell,market,,52
132.000000,1404,N10,buy,limit,100.38,19
132.000000,1405,MM,buy,limit,100.49,80
132.000000,1406,MM,sell,limit,100.59,80
132.100000,1395,N6,sell,cancel,100.93,44
132.100000,1407,N6,sell,market,,99
132.200000,1408,N3,buy,limit,100.26,75
132.500000,1409,N14,sell,limit,100.73,18
132.700000,1410,N8,buy,limit,100.43,51
133.000000,1408,N3,buy,cancel,100.26,75
133.000000,1411,N3,buy,limit,100.51,50
133.000000,1412,N6,sell,limit,100.63,29
133.200000,1413,N1,sell,limit,100.54,21
133.200000,1414,N11,buy,limit,100.40,69
133.300000,1415,N0,buy,market,,21
133.300000,1416,N11,buy,market,,93
133.400000,1417,N4,sell,limit,100.56,98
133.500000,1418,N1,sell,limit,100.61,56
133.500000,1410,N8,buy,cancel,100.43,51
133.500000,1419,N8,buy,market,,10
133.500000,1414,N11,buy,cancel,100.40,69
133.500000,1420,N11,buy,limit,100.49,82
133.500000,1421,N14,buy,limit,100.45,73
133.800000,1422,N8,sell,limit,100.47,40
133.800000,1420,N11,buy,cancel,100.49,82
133.800000,1423,N11,sell,limit,100.48,21
133.900000,1362,CA,buy,cancel,100.24,70
133.900000,1424,CA,sell,limit,100.53,35
134.000000,1417,N4,sell,cancel,100.56,88
134.000000,1425,N4,sell,limit,100.59,48
134.000000,1426,N13,sell,market,,55
134.100000,1427,N0,sell,limit,100.54,47
134.100000,1412,N6,sell,cancel,100.63,16
134.100000,1428,N6,buy,market,,47
134.300000,1429,N1,buy,market,,73
134.700000,1430,N1,sell,limit,100.53,21
134.700000,1431,N10,sell,market,,49
134.700000,1432,CA,sell,limit,100.45,24
134.800000,1433,N2,sell,limit,100.48,73
134.900000,1434,N7,sell,limit,100.69,56
134.900000,1435,N14,sell,limit,100.56,66
135.000000,1436,N7,sell,limit,100.52,42
135.000000,1437,MM,buy,limit,100.35,80
135.000000,1438,MM,sell,limit,100.45,80
135.400000,1439,N2,sell,limit,100.49,34
135.600000,1440,N10,sell,market,,83
135.800000,1441,CB,buy,market,,28
135.900000,1442,N2,sell,limit,100.39,45
135.900000,1443,N11,buy,limit,100.34,57
136.300000,1444,N0,buy,limit,100.15,40
136.500000,1434,N7,sell,cancel,100.69,56
136.500000,1445,N7,sell,market,,39
136.600000,1446,N13,sell,limit,100.43,13
136.700000,1447,N2,sell,limit,100.43,80
136.700000,1448,N6,sell,limit,100.61,80
136.800000,1425,N4,sell,cancel,100.59,21
136.800000,1449,N4,sell,limit,100.46,91
136.900000,1450,N2,buy,limit,100.33,65
137.100000,1451,N9,buy,market,,87
137.200000,1452,N2,sell,limit,100.38,45
137.400000,1453,CB,buy,limit,100.22,61
137.600000,1443,N11,buy,cancel,100.34,18
137.600000,1454,N11,buy,limit,100.36,24
137.700000,1455,N5,sell,limit,100.78,22
137.700000,1456,N10,sell,limit,100.47,65
137.900000,1457,N8,sell,limit,100.40,71
137.900000,1458,N13,sell,limit,100.60,34
138.000000,1438,MM,sell,cancel,100.45,76
138.000000,1459,MM,buy,limit,100.33,80
138.000000,1460,MM,sell,limit,100.43,80
138.100000,1444,N0,buy,cancel,100.15,40
138.100000,1461,N0,sell,limit,100.41,62
138.100000,1430,N1,sell,cancel,100.53,21
138.100000,1462,N1,sell,limit,100.41,58
138.200000,1461,N0,sell,cancel,100.41,62
138.200000,1463,N0,sell,limit,100.43,52
138.200000,1464,N9,sell,market,,26
138.200000,1465,N10,sell,market,,72
138.200000,1458,N13,sell,cancel,100.60,34
138.200000,1466,N13,sell,limit,100.70,49
138.400000,1467,N9,sell,market,,21
138.400000,1456,N10,sell,cancel,100.47,65
138.400000,1468,N10,buy,limit,100.38,25
138.500000,1466,N13,sell,cancel,100.70,49
138.500000,1469,N13,sell,limit,100.43,65
138.900000,1470,N11,buy,limit,100.41,82
139.000000,1471,N1,buy,limit,100.22,88
139.000000,1472,N14,sell,limit,100.44,14
139.400000,1473,N0,buy,market,,91
139.400000,1474,N8,buy,limit,100.42,98
139.700000,1475,N3,sell,limit,100.48,55
139.700000,1435,N14,sell,cancel,100.56,66
139.700000,1476,N14,sell,market,,46
139.800000,1477,N3,buy,limit,100.25,20
140.200000,1478,N12,buy,limit,100.45,35
140.200000,1479,CA,buy,limit,100.46,90
140.300000,1480,N11,sell,limit,100.81,75
140.400000,1418,N1,sell,cancel,100.61,56
140.400000,1481,N1,buy,limit,100.39,89
140.400000,1436,N7,sell,cancel,100.52,42
140.400000,1482,N7,buy,limit,100.43,36
140.400000,1474,N8,buy,cancel,100.42,52
140.400000,1483,N8,buy,market,,60
140.400000,1484,N13,buy,limit,100.26,77
140.500000,1485,N10,buy,market,,77
140.500000,1486,N14,buy,limit,100.40,72
140.600000,1487,N5,buy,limit,100.46,84
140.600000,1488,N6,buy,limit,100.38,30
140.600000,1489,N11,buy,market,,40
140.700000,1481,N1,buy,cancel,100.39,89
140.700000,1490,N1,sell,market,,99
140.700000,1491,N4,buy,market,,28
140.700000,1492,N7,buy,limit,100.41,70
140.800000,1488,N6,buy,cancel,100.38,30
140.800000,1493,N6,buy,limit,100.45,92
140.800000,1494,N9,sell,limit,100.51,79
140.900000,1453,CB,buy,cancel,100.22,61
140.900000,1495,CB,buy,limit,100.36,76
141.000000,1496,N4,buy,limit,100.35,13
141.000000,1497,N8,buy,limit,100.49,10
141.000000,1459,MM,buy,cancel,100.33,50
141.000000,1498,MM,buy,limit,100.47,80
141.000000,1499,MM,sell,limit,100.57,80
141.100000,1455,N5,sell,cancel,100.78,22
141.100000,1500,N5,sell,limit,100.61,36
141.300000,1471,N1,buy,cancel,100.22,88
141.300000,1501,N1,sell,limit,100.69,81
141.300000,1502,N4,sell,market,,71
141.400000,1503,N14,sell,limit,100.57,79
141.600000,1477,N3,buy,cancel,100.25,20
141.600000,1504,N3,sell,limit,100.68,52
141.700000,1505,N8,buy,limit,100.50,30
141.900000,1355,CB,sell,cancel,100.73,62
141.900000,1506,CB,buy,limit,100.51,19
142.000000,1507,N0,sell,limit,100.67,31
142.100000,1508,N7,buy,limit,100.49,25
142.100000,1509,N8,buy,limit,100.38,90
142.100000,1510,CA,buy,market,,40
142.200000,1501,N1,sell,cancel,100.69,81
142.200000,1511,N1,sell,limit,100.78,80
142.200000,1504,N3,sell,cancel,100.68,52
142.200000,1512,N3,buy,limit,100.52,81
142.200000,1513,CA,sell,market,,22
142.400000,1507,N0,sell,cancel,100.67,31
142.400000,1514,N0,buy,limit,100.49,19
142.500000,1515,N4,buy,limit,100.39,51
142.500000,1516,N10,sell,limit,100.57,30
142.700000,1517,N10,buy,limit,100.39,41
142.800000,1518,N9,buy,limit,100.33,73
142.900000,1519,N5,buy,limit,100.20,41
142.900000,1484,N13,buy,cancel,100.26,77
142.900000,1520,N13,buy,market,,59
143.200000,1521,N5,buy,limit,100.47,80
143.400000,1516,N10,sell,cancel,100.57,30
143.400000,1522,N10,buy,limit,100.54,25
143.500000,1514,N0,buy,cancel,100.49,19
143.500000,1523,N0,buy,limit,100.40,42
143.500000,1391,N7,sell,cancel,100.72,29
143.500000,1524,N7,buy,limit,100.54,58
143.600000,1525,N10,buy,limit,100.28,46
143.700000,1526,N2,sell,market,,29
143.900000,1517,N10,buy,cancel,100.39,41
143.900000,1527,N10,sell,limit,100.60,70
144.000000,1498,MM,buy,cancel,100.47,9
144.000000,1499,MM,sell,cancel,100.57,21
144.000000,1528,MM,buy,limit,100.47,80
144.000000,1529,MM,sell,limit,100.57,80
144.100000,1530,N8,buy,limit,100.38,73
144.100000,1531,N12,buy,limit,100.55,17
144.200000,1532,N14,buy,limit,100.54,28
144.500000,1533,N14,buy,limit,100.51,39
144.500000,1534,CA,buy,limit,100.49,45
144.600000,1511,N1,sell,cancel,100.78,80
144.600000,1535,N1,buy,limit,100.53,16
144.800000,1536,CB,sell,limit,100.56,80
144.900000,1537,N1,sell,limit,100.68,72
144.900000,1538,N12,sell,limit,100.62,51
145.100000,1538,N12,sell,cancel,100.62,51
145.100000,1539,N12,sell,limit,100.68,74
145.500000,1540,N2,buy,limit,100.57,69
145.700000,1541,N4,buy,market,,59
146.300000,1542,N2,buy,market,,39
146.300000,1512,N3,buy,cancel,100.52,10
146.300000,1543,N3,buy,limit,100.45,76
146.300000,1544,N14,sell,market,,89
146.400000,1543,N3,buy,cancel,100.45,76
146.400000,1545,N3,buy,market,,32
146.500000,1546,N6,sell,limit,100.55,23
146.500000,1547,N13,sell,limit,100.57,92
146.600000,1548,N6,sell,limit,100.83,84
146.700000,1521,N5,buy,cancel,100.47,80
146.700000,1549,N5,buy,market,,58
146.800000,1518,N9,buy,cancel,100.33,73
146.800000,1550,N9,sell,limit,100.60,36
147.000000,1480,N11,sell,cancel,100.81,75
147.000000,1551,N11,buy,market,,80
147.000000,1552,N13,sell,market,,32
147.000000,1528,MM,buy,cancel,100.47,80
147.000000,1553,MM,buy,limit,100.51,80
147.000000,1554,MM,sell,limit,100.61,80
147.100000,1493,N6,buy,cancel,100.45,92
147.100000,1555,N6,sell,limit,100.63,10
147.100000,1533,N14,buy,cancel,100.51,33
147.100000,1556,N14,sell,limit,100.53,43
147.200000,1523,N0,buy,cancel,100.40,42
147.200000,1557,N0,sell,limit,100.58,15
147.200000,1558,CA,buy,limit,100.40,45
147.500000,1559,N0,sell,limit,100.64,57
147.500000,1560,N6,buy,limit,100.30,82
147.500000,1539,N12,sell,cancel,100.68,74
147.500000,1561,N12,buy,limit,100.47,77
147.500000,1562,N13,buy,limit,100.41,87
147.600000,1563,N2,buy,market,,63
147.600000,1564,N13,buy,limit,100.48,66
147.800000,1565,N10,sell,limit,100.59,16
148.000000,1566,CB,sell,limit,100.61,45
148.200000,1567,N0,sell,limit,100.66,42
148.200000,1568,N6,sell,limit,100.48,80
148.200000,1569,N11,buy,market,,84
148.200000,1564,N13,buy,cancel,100.48,66
148.200000,1570,N13,sell,limit,100.64,85
148.400000,1561,N12,buy,cancel,100.47,77
148.400000,1571,N12,sell,limit,100.50,69
148.500000,1572,N2,sell,market,,56
148.500000,1573,CB,sell,limit,100.54,55
148.700000,1574,N5,sell,limit,100.54,87
148.700000,1527,N10,sell,cancel,100.60,14
148.700000,1575,N10,sell,limit,100.65,36
148.700000,1576,N14,sell,market,,61
148.800000,1550,N9,sell,cancel,100.60,36
148.800000,1577,N9,sell,limit,101.07,22
148.800000,1578,CB,sell,limit,100.64,76
148.900000,1579,N4,buy,market,,12
149.000000,1548,N6,sell,cancel,100.83,84
149.000000,1580,N6,sell,limit,100.66,63
149.000000,1558,CA,buy,cancel,100.40,45
149.000000,1581,CA,sell,market,,81
149.100000,1537,N1,sell,cancel,100.68,72
149.100000,1582,N1,sell,limit,100.57,78
149.100000,1577,N9,sell,cancel,101.07,22
149.100000,1583,N9,sell,limit,100.52,18
149.200000,1584,CB,sell,limit,100.50,91
149.400000,1585,N4,buy,limit,100.33,71
149.400000,1525,N10,buy,cancel,100.28,46
149.400000,1586,N10,sell,limit,100.65,31
149.500000,1530,N8,buy,cancel,100.38,73
149.500000,1587,N8,sell,limit,100.51,85
149.500000,1571,N12,sell,cancel,100.50,57
149.500000,1588,N12,sell,market,,96
149.900000,1589,N3,buy,market,,33
149.900000,1590,N14,buy,limit,100.49,79
150.000000,1554,MM,sell,cancel,100.61,80
150.000000,1591,MM,buy,limit,100.49,80
150.000000,1592,MM,sell,limit,100.59,80
150.200000,1593,N2,sell,market,,65
150.200000,1500,N5,sell,cancel,100.61,36
150.200000,1594,N5,sell,market,,29
150.300000,1595,N1,buy,limit,100.29,97
150.300000,1596,N8,sell,limit,100.60,18
150.400000,1597,N0,sell,limit,100.63,52
150.600000,1598,N2,sell,limit,100.54,81
150.700000,1599,N12,sell,limit,100.52,95
150.800000,1600,N2,buy,limit,100.41,62
151.000000,1560,N6,buy,cancel,100.30,82
151.000000,1601,N6,buy,limit,100.46,78
151.000000,1602,N7,buy,limit,100.47,76
151.200000,1570,N13,sell,cancel,100.64,85
151.200000,1603,N13,sell,market,,67
151.300000,1496,N4,buy,cancel,100.35,13
151.300000,1604,N4,sell,market,,84
151.300000,1574,N5,sell,cancel,100.54,87
151.300000,1605,N5,sell,market,,61
151.300000,1606,N9,sell,limit,100.68,69
151.500000,1607,N1,buy,limit,100.53,96
151.500000,1448,N6,sell,cancel,100.61,80
151.500000,1608,N6,sell,limit,100.63,40
151.700000,1609,N3,sell,market,,59
151.900000,1610,N7,sell,market,,65
152.100000,1611,N7,buy,limit,100.44,65
152.100000,1612,N11,buy,limit,100.30,37
152.200000,1519,N5,buy,cancel,100.20,41
152.200000,1613,N5,buy,limit,100.52,46
152.200000,1509,N8,buy,cancel,100.38,20
152.200000,1614,N8,buy,limit,100.36,67
152.500000,1615,N1,sell,limit,100.56,36
152.500000,1616,N8,buy,limit,100.18,44
152.600000,1617,N0,sell,limit,100.73,83
152.600000,1618,N8,buy,limit,100.50,78
152.800000,1619,N8,buy,market,,79
152.800000,1620,N10,buy,limit,100.59,40
152.900000,1621,N9,buy,limit,100.60,42
153.000000,1592,MM,sell,cancel,100.59,80
153.000000,1622,MM,buy,limit,100.58,80
153.000000,1623,MM,sell,limit,100.68,80
153.100000,1559,N0,sell,cancel,100.64,57
153.100000,1624,N0,buy,market,,20
153.200000,1611,N7,buy,cancel,100.44,65
153.200000,1625,N7,sell,limit,100.61,22
153.300000,1626,N13,buy,limit,100.62,66
153.500000,1625,N7,sell,cancel,100.61,22
153.500000,1627,N7,buy,limit,100.40,41
153.600000,1628,N3,buy,limit,100.56,63
153.700000,1629,N7,buy,limit,100.55,40
153.800000,1612,N11,buy,cancel,100.30,37
153.800000,1630,N11,buy,limit,100.45,33
153.900000,1631,N11,buy,market,,48
154.000000,1632,N8,buy,market,,42
154.000000,1633,N9,buy,limit,100.53,14
154.000000,1634,CA,buy,market,,56
154.300000,1635,N5,buy,limit,100.56,94
154.400000,1636,N2,buy,limit,100.52,54
154.500000,1585,N4,buy,cancel,100.33,71
154.500000,1637,N4,buy,limit,100.39,60
154.500000,1575,N10,sell,cancel,100.65,36
154.500000,1638,N10,buy,market,,14
154.600000,1639,N13,buy,market,,95
154.700000,1640,N4,sell,limit,100.65,40
154.800000,1635,N5,buy,cancel,100.56,94
154.800000,1641,N5,sell,market,,49
154.900000,1642,N5,buy,market,,47
154.900000,1643,N6,buy,limit,100.57,67
155.200000,1644,N5,sell,market,,26
155.200000,1627,N7,buy,cancel,100.40,41
155.200000,1645,N7,buy,limit,100.58,52
155.300000,1646,N11,buy,limit,100.65,81
155.400000,1647,N9,buy,limit,100.67,65
155.500000,1617,N0,sell,cancel,100.73,83
155.500000,1648,N0,sell,limit,100.71,72
155.500000,1649,N5,buy,limit,100.44,57
155.800000,1637,N4,buy,cancel,100.39,60
155.800000,1650,N4,sell,limit,100.73,80
155.800000,1651,N6,buy,limit,100.55,90
156.000000,1650,N4,sell,cancel,100.73,80
156.000000,1652,N4,buy,limit,100.53,88
156.000000,1623,MM,sell,cancel,100.68,80
156.000000,1653,MM,buy,limit,100.53,80
156.000000,1654,MM,sell,limit,100.63,80
156.100000,1655,N13,sell,limit,100.57,86
156.400000,1656,N0,buy,limit,100.55,20
156.400000,1649,N5,buy,cancel,100.44,57
156.400000,1657,N5,buy,limit,100.20,94
156.400000,1658,CA,sell,market,,52
156.500000,1659,N0,buy,limit,100.40,92
156.600000,1633,N9,buy,cancel,100.53,14
156.600000,1660,N9,buy,market,,46
156.600000,1661,N12,sell,limit,100.60,51
156.700000,1662,N3,sell,limit,100.56,64
156.700000,1663,N6,sell,limit,100.60,78
156.800000,1664,N2,sell,limit,100.63,90
156.800000,1409,N14,sell,cancel,100.73,18
156.800000,1665,N14,sell,market,,35
157.000000,1663,N6,sell,cancel,100.60,78
157.000000,1666,N6,buy,limit,100.39,98
157.000000,1667,N8,sell,limit,100.49,19
157.100000,1668,N9,sell,market,,88
157.100000,1669,N12,sell,limit,100.78,96
157.400000,1614,N8,buy,cancel,100.36,67
157.400000,1670,N8,sell,market,,94
157.700000,1671,N13,sell,limit,100.74,45
157.800000,1652,N4,buy,cancel,100.53,51
157.800000,1672,N4,sell,limit,100.67,43
157.800000,1673,N7,buy,limit,100.38,59
158.200000,1674,N6,sell,limit,100.47,58
158.300000,1675,N8,buy,market,,52
158.400000,1630,N11,buy,cancel,100.45,33
158.400000,1676,N11,sell,market,,52
158.500000,1677,N9,sell,limit,100.44,31
158.600000,1616,N8,buy,cancel,100.18,44
158.600000,1678,N8,sell,market,,70
158.800000,1664,N2,sell,cancel,100.63,90
158.800000,1679,N2,sell,market,,86
158.900000,1680,N8,sell,limit,100.47,11
159.000000,1681,N1,sell,limit,100.37,33
159.000000,1662,N3,sell,cancel,100.56,12
159.000000,1682,N3,sell,limit,100.73,92
159.000000,1654,MM,sell,cancel,100.63,2
159.000000,1683,MM,buy,limit,100.31,80
159.000000,1684,MM,sell,limit,100.41,80
159.400000,1685,N0,sell,market,,83
159.400000,1686,N1,sell,limit,100.58,29
159.500000,1687,N0,buy,limit,100.36,69
159.500000,1688,N7,buy,market,,91
159.600000,1495,CB,buy,cancel,100.36,53
159.600000,1689,CB,buy,limit,100.26,47
159.700000,1690,N3,sell,limit,100.63,42
159.800000,1648,N0,sell,cancel,100.71,72
159.800000,1691,N0,sell,market,,78
159.900000,1606,N9,sell,cancel,100.68,69
159.900000,1692,N9,sell,limit,100.46,50
160.200000,1693,N11,sell,limit,100.44,17
160.300000,1694,N12,sell,market,,38
160.500000,1695,N0,buy,limit,100.33,39
160.600000,1692,N9,sell,cancel,100.46,50
160.600000,1696,N9,sell,market,,46
160.700000,1697,N14,sell,limit,100.39,47
160.800000,1672,N4,sell,cancel,100.67,43
160.800000,1698,N4,sell,limit,100.35,53
160.800000,1697,N14,sell,cancel,100.39,47
160.800000,1699,N14,sell,market,,89
160.900000,1700,N1,buy,market,,22
160.900000,1701,N9,sell,limit,100.29,93
161.000000,1702,N11,sell,limit,100.40,55
161.100000,1686,N1,sell,cancel,100.58,29
161.100000,1703,N1,buy,market,,76
161.100000,1704,CA,sell,limit,100.31,32
161.300000,1705,N5,sell,limit,100.38,24
161.500000,1706,N5,buy,market,,16
161.500000,1671,N13,sell,cancel,100.74,45
161.500000,1707,N13,buy,market,,68
161.900000,1657,N5,buy,cancel,100.20,94
161.900000,1708,N5,buy,market,,37
161.900000,1709,N13,buy,limit,100.20,71
162.000000,1710,MM,buy,limit,100.28,80
162.000000,1711,MM,sell,limit,100.38,80
162.100000,1712,N0,sell,limit,100.37,36
162.300000,1713,N7,sell,limit,100.42,84
162.400000,1714,N5,sell,market,,36
162.400000,1661,N12,sell,cancel,100.60,51
162.400000,1715,N12,sell,limit,100.85,37
162.600000,1716,N1,buy,limit,100.29,30
162.600000,1717,N10,sell,market,,66
162.900000,1718,N1,sell,market,,21
163.000000,1719,CA,buy,limit,100.38,73
163.100000,1713,N7,sell,cancel,100.42,84
163.100000,1720,N7,sell,limit,100.44,12
163.100000,1721,N10,sell,limit,100.47,75
163.300000,1709,N13,buy,cancel,100.20,71
163.300000,1722,N13,sell,limit,100.39,99
163.500000,1723,N1,sell,market,,59
163.500000,1724,CB,sell,limit,100.44,86
163.600000,1725,N8,buy,limit,100.07,25
163.900000,1726,N9,buy,limit,100.28,63
164.000000,1690,N3,sell,cancel,100.63,42
164.000000,1727,N3,buy,market,,21
164.100000,1728,N6,buy,market,,72
164.200000,1729,N10,buy,limit,100.26,67
164.300000,1730,N7,buy,limit,100.33,55
164.400000,1702,N11,sell,cancel,100.40,4
164.400000,1731,N11,buy,limit,100.18,29
164.700000,1732,N2,buy,limit,100.10,73
164.700000,1733,N6,sell,limit,101.00,26
164.700000,1715,N12,sell,cancel,100.85,37
164.700000,1734,N12,buy,limit,100.34,55
164.800000,1735,CA,buy,limit,100.33,91
164.900000,1736,N14,buy,limit,100.25,19
165.000000,1737,MM,buy,limit,100.35,80
165.000000,1738,MM,sell,limit,100.45,80
165.300000,1580,N6,sell,cancel,100.66,40
165.300000,1739,N6,sell,limit,100.40,59
165.400000,1740,N5,buy,limit,100.37,70
165.500000,1741,N8,buy,limit,100.40,83
165.600000,1682,N3,sell,cancel,100.73,92
165.600000,1742,N3,sell,limit,100.91,16
165.700000,1742,N3,sell,cancel,100.91,16
165.700000,1743,N3,sell,limit,100.46,28
165.900000,1744,N0,sell,market,,36
165.900000,1745,N1,buy,market,,63
166.000000,1746,N8,buy,limit,100.23,28
166.000000,1735,CA,buy,cancel,100.33,91
166.000000,1747,CA,sell,market,,52
166.100000,1748,N13,sell,limit,100.40,48
166.300000,1749,N3,buy,limit,100.25,29
166.300000,1750,N10,buy,market,,87
166.300000,1736,N14,buy,cancel,100.25,19
166.300000,1751,N14,buy,market,,74
166.600000,1752,N5,buy,limit,100.37,14
166.800000,1753,N0,buy,limit,100.30,77
166.800000,1721,N10,sell,cancel,100.47,75
166.800000,1754,N10,buy,limit,100.37,67
166.900000,1755,N9,buy,limit,100.23,15
167.100000,1753,N0,buy,cancel,100.30,77
167.100000,1756,N0,buy,limit,100.21,56
167.100000,1757,N14,buy,limit,100.29,34
167.200000,1758,N3,sell,market,,14
167.500000,1757,N14,buy,cancel,100.29,34
167.500000,1759,N14,buy,market,,92
167.600000,1760,N14,sell,market,,40
167.700000,1761,N3,sell,limit,100.92,38
168.000000,1730,N7,buy,cancel,100.33,55
168.000000,1762,N7,buy,limit,100.33,30
168.000000,1763,N9,sell,limit,101.05,68
168.000000,1737,MM,buy,cancel,100.35,62
168.000000,1764,MM,buy,limit,100.30,80
168.000000,1765,MM,sell,limit,100.40,80
168.000000,1766,CA,sell,market,,77
168.100000,1767,N1,sell,market,,80
168.500000,1768,N14,sell,limit,100.32,50
168.700000,1769,N4,buy,limit,100.25,18
168.700000,1746,N8,buy,cancel,100.23,28
168.700000,1770,N8,buy,limit,100.33,56
168.700000,1731,N11,buy,cancel,100.18,29
168.700000,1771,N11,sell,limit,100.45,17
168.900000,1756,N0,buy,cancel,100.21,56
168.900000,1772,N0,sell,limit,100.47,16
168.900000,1761,N3,sell,cancel,100.92,38
168.900000,1773,N3,sell,limit,100.55,94
169.000000,1774,N3,sell,limit,100.45,27
169.200000,1732,N2,buy,cancel,100.10,73
169.200000,1775,N2,sell,market,,31
169.300000,1725,N8,buy,cancel,100.07,25
169.300000,1776,N8,buy,limit,100.26,72
169.400000,1777,N3,sell,market,,10
169.400000,1778,N6,sell,limit,100.27,16
169.500000,1779,N5,sell,market,,89
169.600000,1780,N14,buy,limit,100.13,14
169.900000,1781,N1,sell,limit,100.37,66
169.900000,1782,N4,sell,limit,100.30,45
170.000000,1783,N1,sell,limit,100.42,22
170.000000,1784,N3,sell,limit,100.31,51
170.100000,1785,N3,sell,market,,52
170.100000,1780,N14,buy,cancel,100.13,14
170.100000,1786,N14,sell,limit,100.24,73
170.200000,1787,N13,sell,limit,100.26,29
170.300000,1772,N0,sell,cancel,100.47,16
170.300000,1788,N0,buy,limit,100.06,80
170.300000,1789,N9,sell,market,,33
170.300000,1669,N12,sell,cancel,100.78,85
170.300000,1790,N12,sell,limit,100.30,80
170.400000,1791,N5,sell,market,,82
170.700000,1792,N2,sell,limit,100.52,59
170.700000,1793,N10,buy,market,,31
170.700000,1794,N12,sell,limit,100.28,21
170.800000,1771,N11,sell,cancel,100.45,17
170.800000,1795,N11,sell,limit,100.27,94
171.000000,1796,N3,buy,market,,27
171.000000,1765,MM,sell,cancel,100.40,80
171.000000,1797,MM,buy,limit,100.21,80
171.000000,1798,MM,sell,limit,100.31,80
171.100000,1799,N0,sell,market,,63
171.200000,1800,N4,sell,market,,90
171.400000,1801,N6,buy,limit,100.27,68
171.500000,1802,N11,sell,limit,100.46,85
171.600000,1733,N6,sell,cancel,101.00,26
171.600000,1803,N6,sell,market,,49
171.900000,1781,N1,sell,cancel,100.37,66
171.900000,1804,N1,sell,limit,100.38,59
171.900000,1802,N11,sell,cancel,100.46,85
171.900000,1805,N11,sell,limit,100.33,79
172.100000,1806,N14,sell,limit,100.38,78
172.200000,1807,N13,sell,limit,100.46,10
172.400000,1808,N13,buy,market,,26
172.500000,1809,N10,sell,limit,100.34,14
172.500000,1810,N11,sell,limit,100.22,68
172.500000,1807,N13,sell,cancel,100.46,10
172.500000,1811,N13,sell,market,,75
172.800000,1812,N4,sell,limit,100.30,39
172.800000,1813,N7,sell,market,,71
172.900000,1814,N0,buy,limit,100.20,69
172.900000,1763,N9,sell,cancel,101.05,68
172.900000,1815,N9,sell,limit,100.22,95
173.000000,1816,N5,sell,market,,40
173.100000,1817,N10,sell,limit,100.24,64
173.400000,1818,N11,sell,limit,100.24,85
173.400000,1819,CA,sell,market,,38
173.500000,1806,N14,sell,cancel,100.38,78
173.500000,1820,N14,sell,limit,100.22,96
173.600000,1821,N9,buy,market,,44
173.600000,1820,N14,sell,cancel,100.22,96
173.600000,1822,N14,sell,limit,100.21,52
173.700000,1822,N14,sell,cancel,100.21,52
173.700000,1823,N14,sell,market,,95
173.800000,1824,N0,sell,market,,37
173.800000,1812,N4,sell,cancel,100.30,39
173.800000,1825,N4,sell,limit,100.32,68
173.900000,1826,N2,sell,limit,100.23,26
173.900000,1827,N10,buy,limit,100.09,62
174.000000,1798,MM,sell,cancel,100.31,80
174.000000,1828,MM,buy,limit,100.12,80
174.000000,1829,MM,sell,limit,100.22,80
174.300000,1782,N4,sell,cancel,100.30,38
174.300000,1830,N4,buy,limit,100.20,51
174.300000,1831,N11,sell,market,,67
174.400000,1832,N7,buy,limit,100.14,40
174.400000,1818,N11,sell,cancel,100.24,85
174.400000,1833,N11,buy,limit,100.16,73
174.400000,1790,N12,sell,cancel,100.30,80
174.400000,1834,N12,sell,market,,32
